S/N,statement,target,source,text_origin
410,Super Eagles fi Benin Republic șe àsun pẹ̀lú ìrètí láti lọ fún ìdíje Ife Ẹ̀yẹ Àgbáyé,sarcastic,BBC News,original
411,"Ìyàwó dùn lọ́sìngín! Gómìnà Abba Kabir Yusuf ti ìpínlẹ̀ Kano, ní ìjọba òun yóò ṣẹ́gun àgbèrè ṣíṣe látàrí àì lọ́kọ-láya",sarcastic,BBC News,original
412,"Ìjọba Kano fẹ́ẹ́ șe igbéyàwó fún èèyàn ẹgbẹ̀rún méji láti ran àwọn tí kò r'ówó șe é lówó, dẹ́kun ṣìná ṣíṣe",sarcastic,BBC News,original
413,"Àyànmó Super Eagles Nàìjíríà tún yí bírí bírí ní ìrìnàjò àti pegedé fún ìdíje Ife Ẹ̀yẹ Àgbáyé, bó tilẹ̀ jẹ́ pé wọ́n yan Lesotho jẹ",non-sarcastic,BBC News,original
414,Àsikò tí wọ́n máa ń sọ pé oríléèdè Naijiria ni ìwà ìbàjẹ́ tó pò jùlọ lágbàáyé ti kọjá,sarcastic,BBC News,original
415,"Aníyikáyé FC ìyẹn Chelsea bínú tán, òròmọ adìyẹ wọn fi àṣá Liverpool ṣe Súyà jẹ",sarcastic,BBC News,original
416,"Ànfààní Àdúgbò iyen Manchester United, tọ́ àṣeyorí wò, wọ́n kanra lu Sunderland lónìí",sarcastic,BBC News,original
417,"Oriogbade Arsenal yarí kanlẹ̀, àlùmọ́lẹ̀ bí ìlú bẹ̀ǹbẹ́ ni wọ́n lu West Ham ní Emirates",sarcastic,BBC News,original
418,"Kò sí bí o bá ṣe ń jìyà tó, má ṣe béèrè ìrànlọ́wọ́ lọ́wọ́ ẹnikẹ́ni. Bó tilẹ̀ jẹ́ pé o lè kú nígbà sórí ìjìyà náà, kò sí ẹni tí yóò lè sọ pé òun ti ràn ọ́ lọ́wọ́ rí",sarcastic,BBC News,original
419,"Tí o bá mọ̀ pé ọ̀rẹ́kùnrin rẹ máa ń ṣe òògùn owó, má ṣe sá fún. Bó tilẹ̀ jẹ́ pé ó lè padà lò ọ́ fún òògùn owó, tí o sì máa kú, tìrẹ ni yóò jẹ́ ìkẹyìn.",sarcastic,BBC News,original
420,"Bàba kúdí ga ní ènìyàn, ó kàn nílátí gun àga kí ẹ tó ó ri ní àárín ọ̀pọ̀ ènìyàn",sarcastic,Crowdsourcing,original
421,"O ti yó lo wí, o sì ṣíwọ́ nídì Àmàlà",sarcastic,Crowdsourcing,original
422,"O kò lẹ́jọ́ láti rò, ẹnu rẹ kò sì dúró",sarcastic,Crowdsourcing,original
423,"Mo láṣọ, mo láṣọ, abájọ tí wọ́n fi ṣi ọ̀ kó mọ́ wèrè",sarcastic,Crowdsourcing,original
424,"Ó jẹun ó yó lótìtọ́, bíbẹ́kọ̀ yóò ti ṣe gbé abọ́ agbe",sarcastic,Crowdsourcing,original
425,Ara mi kò gba èpè ni kò jẹ ki n ṣílẹ̀kùn fún ọ̀tá,non-sarcastic,Crowdsourcing,original
426,"Mò n bọ̀, n ò tí ì dé",non-sarcastic,Crowdsourcing,original
427,"Tó bá dé odò ẹni tí mo rán ẹ lọ ṣe àbẹ̀wò rẹ̀, ní ṣe ni ko sùn síbẹ̀, sé o gbọ́? ",sarcastic,Crowdsourcing,original
428,Títí mọ̀wé ju kí ó ṣe ipò kíní lọ,sarcastic,Crowdsourcing,original
429,"Ẹni tí a ní kí ó se nǹkan, tí o jẹ wípé òdì ló ń ṣe",non-sarcastic,Crowdsourcing,original
430,"Nígbà tí o padà lówó lọ́wọ́ nígbẹ̀yìn-gbẹ́yín ní ìgbésí ayé rẹ, má ṣe gbàgbé àwọn tí wọ́n ń ràn ọ́ lọ́wọ́ kí owó tó dé, kí o tèbè sọ òǹkà ìpè wọn dànù kí wọ́n tó rántí rẹ, bó tilẹ̀ jẹ́ pé Ọlọ́run lè fìyà jẹ ọ́ nítorí náà.",sarcastic,Instagram,original
431,"Tí o bá ti bí ọmọ kan tí o kò sì ní owó láti kọ́ ọ, bí ọmọ méjì sí i. Àwọn mẹ́tẹ̀ẹ̀ta yóò máa ṣe wàhálà papọ̀ nígbà tó bá yá, bó tilẹ̀ jẹ́ pé o lè má jàǹfààní èyíkéyìí nínú wọn.",sarcastic,Instagram,original
432,"Tí o bá ń ṣe ìwà ẹ̀tàn tí agbófinró Nàìjíríà kan bá gbá ọ mú, jẹ́ kí wọ́n ṣàyẹ̀wò ẹ̀rọ ìbánisọ̀rọ̀ rẹ kí o sì sọ ohun tí o ń ṣe fún wọn, bó tilẹ̀ jẹ́ wípé o lè padà ṣẹ̀wọ̀n",sarcastic,Instagram,original
433,"Tí o bá jẹ́ ọkùnrin tí o sì ń rí owó, fi owó dá ọ̀rẹ́bìnrin rẹ lóko òwò kí o tó tọ́jú àwọn òbí rẹ, bó tilẹ̀ jẹ́ pé ó lè fi ọ́ sílẹ̀ nígbà tí o kò bá lówó lọ́wọ́ mọ́, àmọ́ o ti ṣe ìgbìyànjú.",sarcastic,Instagram,original
434,"Tí o bá fẹ́ gbéyàwó tí o sì ní láti yan láàrín ẹni tí ó ní ìdí ńlá àti ẹni tí ó ní ìwà rere, o yẹ kí o yan èyí àkọ́kọ́ fún láti lè máa fi yangàn, bó tilẹ̀ jẹ́ pé ó lè máa dààmú ìgbésí ayé rẹ àti ti ìdílé rẹ nígbà tó bá yá.",sarcastic,Instagram,original
435,"Tí olè bá ń jalè níbì kan tí àwọn ènìyàn sì ń sá lọ, má ṣe sá lọ, bí bẹ́ẹ̀ kọ́, wọ́n á rí ọ gẹ́gẹ́ bí ojo, bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́.",sarcastic,Instagram,original
436,"Nítorí pé o kò ní owó kò túmọ̀ sí pé o kò gbọ́dọ̀ fẹ́ ìyàwó méjì, nítorí pé ìyàwó kejì lè mú oríire wá fún ìdílé rẹ, bó tilẹ̀ jẹ́ pé gbogbo yín lè kú sínú ìyà",sarcastic,Instagram,original
